response,pairA_1,pairA_2,pairB_1,pairB_2,subject
1,1.570796327,2.268928028,4.188790205,4.974188368,3
1,4.71238898,5.410520681,1.134464014,3.926990817,3
1,3.490658504,3.839724354,1.396263402,2.00712864,3
1,2.705260341,2.879793266,0.698131701,1.134464014,3
1,1.221730476,3.403392041,5.410520681,5.672320069,3
1,0.174532925,0.261799388,4.71238898,4.974188368,3
0,0.436332313,1.832595715,3.141592654,4.71238898,3
1,2.617993878,3.316125579,0.698131701,2.094395102,3
1,2.879793266,3.752457892,3.839724354,6.108652382,3
1,5.323254219,6.021385919,1.658062789,4.101523742,3
1,3.752457892,3.839724354,2.879793266,3.228859116,3
1,1.570796327,2.879793266,4.450589593,6.195918845,3
1,3.141592654,4.625122518,1.658062789,2.967059728,3
1,2.617993878,2.792526803,0.34906585,1.483529864,3
1,0.872664626,1.483529864,2.268928028,4.71238898,3
0,3.839724354,4.537856055,2.35619449,2.879793266,3
0,1.396263402,3.141592654,4.276056667,4.799655443,3
1,4.799655443,5.061454831,1.221730476,1.570796327,3
0,4.276056667,5.934119457,2.443460953,3.054326191,3
0,0.610865238,3.054326191,5.323254219,5.672320069,3
0,0.087266463,0.959931089,1.658062789,4.537856055,3
1,4.36332313,5.061454831,1.134464014,2.35619449,3
0,3.054326191,4.799655443,0.959931089,1.919862177,3
0,1.134464014,3.577924967,3.665191429,4.625122518,3
